How do you make a tissue dance?		Put a bogey in it. 
Why didn't the skeleton go to the dance?	Because he had no-body to go with. 
How do crazy people go through the forest?	They take the psycho path. 
Did you hear about the angry pancake?	He just flipped. 
What do prisoners use to call each other?	Cell phones. 
What do you call a cow with a twitch?	Beef Jerky. 
Did you ever hear about that movie constipation?	It never came out. 
What do you call bear with no teeth?	A: A Gummy Bear 
What do you get when you cross Sonic The Hedgehog and Curious George?	2 Fast 2 Curious 
Did you hear about the hairdresser?		She dyed. 
What do you call a musician with problems?	a trebled man. 
Did you hear about the Italian chef that died?	He pasta way. 
Where do snowmen keep their money?	In snow banks. 
What do you call a very religious person that sleep walks?	a Roman Catholic 
Did you hear about the crab that went to the seafood disco?		He pulled a muscle 
Did you hear about the carrot detective?	He got to the root of every case. 
Why can't you take a nap during a race?		Because if you snooze, you loose! 
What did the tie say to the hat?	You go on ahead and I'll hang around 
What washes up on very small beaches?	Microwaves! 
What never asks questions but receives a lot of answers?	the Telephone. 
What goes through towns, up & over hills, but doesn't move?		The road! 
Did you hear about the guy who got hit in the head with a can of soda?	He was lucky it was a soft drink. 
Why was there thunder and lightning in the lab?		The scientists were brainstorming! 
What did Delaware?	a New Jersey 
Why did Tony go out with a prune?	Because he couldn't find a date! 
What do you cal purple when it is being mean?	Violent. 
What did the little mountain say to the big mountain?	Hi Cliff! Sometimes I tuck my knees into my chest and lean forward. That�s just how I roll. 
Did you hear the one about the geologist?	He took his wife for granite so she left him 
What did Winnie The Pooh say to his agent?	Show me the honey! 
What did the man say to the wall?	One more crack like that and I'll plaster ya! 
What do you get when you cross a fridge with a radio?	Cool Music 
Why couldn't the pirate play cards?		Because he was sitting on the deck! 
What's the difference between bird flu and swine flu?	If you have bird flu, you need tweetment. If you have swine flu, you need oink-ment. 
Why did the traffic light turn red?		You would too if you had to change in the middle of the street! 
What did one elevator say to the other elevator?	I think I'm coming down with something! 
What do you call a window that raps?	2PANEZ 
What happened when a faucet, a tomato and lettuce were in a race?	The lettuce was ahead, the faucet was running and the tomato was trying to ketchup. 
Why can't your nose be 12 inches long?	Because then it would be a foot! 
What has four wheels and flies?		A garbage truck! 
What starts with a P, ends with an E, and has a million letters in it?	Post Office! 
What do you call a belt with a watch on it?		A waist of time 
What did the blanket say to the bed?	Don't worry, I've got you covered! 
Why should you take a pencil to bed?	To draw the curtains! 
What do you call an unpredictable, out of control photographer?		a loose Canon 
What do you call a frozen dog?	A pupsicle. 
What does the Lone Ranger say when he takes out the garbage?	To the dump, to the dump, to the dump dump dump. 
How many books can you put in an empty backpack?	One! After that its not empty! 
What kind of button won't unbutton?		A bellybutton! 
What do you call an 80s synth pop band with a scoop of ice cream?	Depeche a la Mode. 
What do you call a group of men waiting for a haircut?	A barbercue Sponsored Content Recommended by 
Why do sea-gulls fly over the sea?	Because if they flew over the bay they would be bagels! 
What dog keeps the best time?	A watch dog. 
What do you call a condiment with a hit single?		a must"heard" 
What do you call two fat people having a chat?	A heavy discussion 
Why did the tomato turn red?	It saw the salad dressing! 
What do you get when you plant kisses?	Tu-lips (two-lips) 
What did the daddy chimney say to the baby chimney?		You are to little to smoke! 
What do you call a ghosts mom and dad?	Transparents 
Why did God make only one Yogi Bear?	Because when he tried to make a second one he made a Boo-Boo 
What did the grape do when it got stepped on?	It let out a little wine! 
What do you call the new girl at the bank?	The Nutella! 
What did the judge say when the skunk walked in the court room?		Odor in the court. 
What did the fish say when he swam into the wall?	Dam! 
Why don't skeletons fight each other?	They don't have the guts. 
What do you call cheese that is not yours?	Nacho Cheese 
What streets do ghosts haunt?	Dead ends! 
Did you hear about the astronaut who stepped on chewing gum?	He got stuck in Orbit. 
What did the penny say to the other penny?	We make perfect cents. 
Why did the man with one hand cross the road?	To get to the second hand shop. 
Why did the boy sprinkle sugar on his pillow before he went to sleep?	So he could have sweet dreams. 
What do you call a nervous javelin thrower?		Shakespeare. 
Did you hear about the painter who was hospitalized?	Reports say it was due to too many strokes. 
Why did the robber take a bath?		Because he wanted to make a clean getaway. 
What happens if life gives you melons?	Your dyslexic 
What did the judge say to the dentist?	Do you swear to pull the tooth, the whole tooth and nothing but the tooth. 
Why did the boy tiptoe past the medicine cabinet?	He didn't want to wake the sleeping pills! 
What do you call a funny mountain?	hill-arious 
What goes up when the rain comes down?	An umbrella. 
Why did the belt go to jail?	Because it held up a pair of pants! 
Did you hear about the calendar thief?	He got 12 months; they say his days are numbered 
What happens if life gives you melons?	Your dyslexic 
What did one raindrop say to the other?		Two's company, three's a cloud 
Why did the balloon burst?	Because is saw a lolly pop 
Did you hear about the sick juggler?	They say he couldnt stop throwing up! 
What kind of driver never get a parking ticket?		A screw driver 
What did the stamp say to the envelope?		Stick with me and we will go places! 
Who can shave 10 times a day and still have a beard?	A barber. 
What do you call a horse that can't lose a race?	Sherbet 
What do you call a dentist in the army?		A drill sergeant 
What did the triangle say to the circle?	Your pointless! 
Did you hear about the new Johnny Depp movie?	It's the one rated Arrrr! 
Why does a milking stool have only 3 legs?	Because the cow has the utter. 
What's easy to get into but hard to get out of?		Trouble 
Did you hear about the guy who died when an axe fell on him?	The police are calling it an axe-i-dent. 
Why did the dinosaur cross the road?	Because the chicken joke wasn't invented yet. 
What kind of lights did Noah use on the		? A: Flood lights! 
Did you hear about the monster with five legs?	His trousers fit him like a glove. 
Why don't you see giraffes in elementary school?	Because they're all in High School! 
Which is the longest word in the dictionary?	"Smiles", because there is a mile between each "s"! 
What happened to the wooden car with wooden wheels and wooden engine?	it wooden go! 
Which month do soldiers hate most?	The month of March! 
What did the painter say to the wall?	One more crack like that and I'll plaster you! 
What do you call a Bee who is having a bad hair day?	A Frisbee. 
What did the M&M go to college?		Because he wanted to be a Smarty. 
What stays on the ground but never gets dirty?	Shadow. 
What kind of shorts do clouds wear?		Thunderwear 
Why do golfers wear two pairs of pants?		In case they get a hole in one! 
What kind of berry has a coloring book?		A crayon-berry 
What do you call a magician on a plane?		A flying sorcerer! 
Why did the toilet paper roll down the hill?	He wanted to get to the bottom. 
Who cleans the bottom of the ocean?		A Mer-Maid 
Whens the best time to go to the dentist?	Tooth-hurty 
What did one aspiring wig say to the other aspiring wig?	I wanna get a head! 
Did you hear about the paddle sale at the boat store?	It was quite an oar deal. 
Why did Goofy put a clock under his desk?	Because he wanted to work over-time! 
Do you know why diarrhea is hereditary?		Because it runs through your jeans. What would you do if I stole a kiss? Call the Police 
What do you call a South	rican girl who is always in a hurry? A: Urgent Tina 
Why did Johnny throw the clock out of the window?	Because he wanted to see time fly! 
When do you stop at green and go at red?	When you're eating a watermelon! 
What did the tailor think of her new job?	It was sew sew. 
How did the farmer mend his pants?	With cabbage patches! 
Why did the man lose his job at the orange juice factory?	He couldn't concentrate! 
Can I tell you a joke about paper.	Nah, never mind, its tearable. 
How do you repair a broken tomato?	Tomato Paste! 
Why did the baby strawberry cry?	Because his parents were in a jam! 
What did the hamburger name his daughter?	Patty! 
What kind of egg did the bad chicken lay?	A deviled egg! 
What kind of key opens the door on Thanksgiving?	A turkey! 
Why did the cookie go to the hospital?	He felt crummy! 
Why were the teacher's eyes crossed?	She couldn't control her pupils! 
What do you call a guy who never farts in public?	A private tutor. 
What do you call a bear with no socks on?	Bare-foot. 
What can you serve but never eat?	A volleyball. 
What kind of shoes do all spies wear?	Sneakers. 
Why did the soccer player bring string to the game?		So he could tie the score. 
Why is a baseball team similar to a muffin?		They both depend on the batter. 
What did the alien say to the garden?	Take me to your weeder. 
What do you call two fat people having a chat?	A heavy discussion. 
Did you hear about the two bed bugs who met in the mattress?	They got married in the spring. 
Why do watermelons have fancy weddings?		Because they cantaloupe. 
Have you heard the joke about the butter?	I better not tell you, it might spread. 
How do baseball players stay cool?	They sit next to their fans. 
Why was the math book sad?	Because it had too many problems. 
What runs but doesn't get anywhere?		A refrigerator. 
What is an astronaut's favorite place on a computer?	The Space bar! 
Why was the robot mad?	People kept pushing its buttons. 
What exam do young witches have to pass?	A spell-ing test! 
What do you call a sheep with no head and no legs?	A cloud! 
Why did the boy eat his homework?	Because his teacher said it was a piece of cake! 
Why is Basketball such a messy sport?	Because you dribble on the floor! 
How do you communicate with a fish?		Drop him a line! 
What did the digital watch say to his grandfather?	Look grandpa no hands! 
Where do sheep go to get haircuts?	To the Baa Baa shop! 
What does a shark like to eat with peanut butter?	Jellyfish! 
What do cats eat for breakfast?		Mice Crispies! 
Why can't a leopard hide?	Because he's always spotted! 
What do you give a dog with a fever?	Mustard, its the best thing for a hot dog! 
What do you get when you cross a cat with a lemon?	A sour puss! 
What kind of flower doesn't sleep at night?		The Day-zzz 
Why do birds fly south for the winter?	Its easier than walking! 
What kind of key opens a banana?	A monkey! 
Did you hear about the vampire bicycle that went round biting people's arms off?	It was a vicious cycle. 
How do you know that carrots are good for your eyesight?	Have you ever seen a rabbit wearing glasses? 
Why does a hummingbird hum?		It doesn't know the words! 
What did one plate say to the other?	Dinners on me 
Why are some fish at the bottom of the ocean?	Because they dropped out of school! 
What goes up and down but doesn't move?		The temperature! 
Which weighs more, a ton of feathers or a ton of bricks?	Neither, they both weigh a ton! 
Did you hear about the blonde who gave her cat a bath?	She still hasn't gotten all the hair off her tongue. 
What has one horn and gives milk	A milk truck. 
Where do bulls get their messages?	On a bull-etin board. 
What do bulls do when they go shopping?		They CHARGE! 
What do you call a house that likes food?	a Condoment! 
What runs but can't walk?	The faucet! 
What kind of bed does a mermaid sleep in?	A water bed! 
What kind of crackers do firemen like in their soup?	Firecrackers! 
Why did the barber win the race?	Because he took a short cut. 
Where do boats go when they get sick?	The dock 
What do you call leftover aliens?	Extra Terrestrials. 
What's taken before you get it?		Your picture. 
Whats the difference between roast beef and pea soup?	You can roast beef, but you cant pea soup! 
What concert costs 45 cents?	50 Cent featuring Nickleback. 
Can February March?		No. But April May. Did you hear about the injured vegetable? Some say he got beet. 
Why did the tree go to the dentist?		To get a root canal. 
What is it called when a cat wins a dog show?	A CAT-HAS-TROPHY! 
Why was the broom late?		It over swept! 
Why is a 2016 calendar more popular than a 2015 calendar?	It has more dates. 
What caused the airline to go bankrupt?		Runway inflation. 
What do you call a snowman with a six pack?		An abdominal snowman. 
Did you hear the joke about the germ?	Never mind. I don't want to spread it around 
What do you call a person that chops up cereal.		a cereal killer. 
What do you call a crushed angle?	a rectangle 
Who do fish always know how much they weigh?	Because they have their own scales. 
Why didn't the 11 year old go to the pirate movie?	because it was rated arrrrr 
What did the janitor say when he jumped out of the closet?	SUPPLIES! 
What did the tie say to the hat?	You go on ahead and I'll hang around! 
Did you hear about the limo driver who went 25 years without a customer?	All that time and nothing to chauffeur it. 
Why did the scarecrow win the nobel prize?	Because he was outstanding in his field. 
What pet makes the loudest noise?	A trum-pet! 
Did you hear about the kidnapping?	He woke up. 
What the difference between you and a calendar?		a calendar has dates. 
What do you call a rabbit with fleas?	Bugs Bunny! 
What word looks the same backwards and upside down?		Swims 
Why did the manager hire the marsupial?		Because he was koala-fied. 
How many tickles does it take to make an octopus laugh?		Tentacles. 
What do you get if you a cross a card game with a typhoon?	Bridge over troubled water. 
Have you ever tried to eat a clock?		It's very time consuming. 
Did you hear about the ghost comedian?	He was booed off stage. 
What do you get when you cross the Godfather with an attorney?	An offer you can't understand. 
What kind of emotions do noses feel?	Nostralgia. Why did the dog cross the road? To get to the "barking" lot! 
How do spiders communicate?		Through the World Wide Web. 
Why are chefs so mean?	They beat eggs and whip cream. 
Did you hear about the guy who's whole left side was cut off?	He's all right now. 
Did you hear about the paper boy?	He blew away 
When I was young there was only 25 letters in the	habet? A: Nobody new why. 
What do you get when you cross Speedy Gonzales with a country singer?	Arriba McEntire. 
What do you get when you cross a lawyer with the Godfather?		An offer you can't understand. 
Did you hear about the circus fire?		Yeah, it was in'tents'. 
Why did the scientist go to the tanning salon?	Because he was a paleontologist. 
Where does bad light go?	PRISM! 
Why did the hot dog turn down a chance to star in a major motion picture?	None of the rolls (roles) were good enough. 
Did you hear about the new corduroy pillowcases?	Their making headlines... 
Why did the log fall into a creek?	Because that's how it ROLLS! 
What did the pink panther say when he stepped on the ant?	deadant deadant deadant deadant. 
What kind of bird sticks to sweaters?	a Vel-Crow. Music Teacher: What's your favourite musicle instrument? Fat Kid: The lunch bell 
Why did the two 4's skip lunch?		They already 8 (ate). 
Why did the girl bring lipstick and eye shadow to school?	She had a make-up exam! 
What did a sign say outside the pet shop?	Buy 1 dog get 1 flea! 
Why did the insomniac man get arrested?		He resisted a rest 
Why did the computer break up with the internet?	There was no "Connection". 
What vehicle has 4 wheels and flies?	a garbage truck. 
Why did the music teacher need a ladder?	To reach the high notes. 
What music are balloons scared of?	Pop music 
What do you call a book that's about the brain?		A mind reader. 
Who goes to the bathroom in the middle of a party?	A party pooper. 
Did you hear about the party a little boy had for his sisters barbie dolls?		It was a Barbie-Q. 
How does a suit put his child into bed?		He tux him in 
What's the difference between a cat and a frog?		A Cat has nine lives but a Frog croaks every night! 
What is a tree's favorite drink?	Root beer! 
What four letters will frighten a burglar?	O I C U 
Where does bad light go?	To prism! 
What do sea monsters eat?	Fish and ships 
I can run but not walk, have a mouth but can't talk, and a bed, but I do not sleep. What am I?	A River. 
Why did the cookie go to the hospital?	Because he felt crummy 
Why did Johnny throw the clock out of the window?	Because he wanted to see time fly! 
What did the policeman say to his belly button?		You're under a vest! 
What do you call a fake noodle?		An impasta 
What did one toilet say to the other toilet?	You look flushed 
What do lawyers wear to court?	Lawsuits! 
Why is there a gate around cemeteries?	Because people are dying to get in! 
Why wouldn't the shrimp share his treasure?		Because he was a little shellfish 
What lights up a soccer stadium?	A soccer match 
Why was the baby strawberry crying?		Because his mom and dad were in a jam. 
Why shouldn't you write with a broken pencil?	Because it's pointless. 
Why did the man put his money in the freezer?	He wanted cold hard cash!
Why did the barber win the race?	Because he took a short cut.
What do call cheese that isn't yours?	Nacho Cheese 
What do you call four bullfighters standing in quicksand?	Quattro Sinko 
How do you make a tissue dance?		Put a little boogey in it! 
What do you call a sleeping bull?	A bulldozer! 
What do you call a belt with a watch on it?		A waist of time 
What do you call bears with no ears?	B 
Where do pencils go for vacation?	Pencil-vania
Why couldn't the pony sing himself a lullaby?	 He was a little hoarse
What did the judge say when the skunk walked in the court room?		Odor in the court.
Where do snowmen keep their money?	In snow banks! 
What is the best day to go to the beach?	Sunday, of course! 
How do hens cheer for their team?	They egg them on!
What did the janitor say when he jumped out of the closet?	Supplies
Why did the man with one hand cross the road?	 To get to the second hand shop. 
What bow can't be tied?		A rainbow! 
What season is it when you are on a trampoline?		Spring time 
What is red and smells like blue paint?		Red Paint 
Why do fish live in salt water?		Because pepper makes them sneeze! 
Why did the birdie go to the hospital?	To get a tweetment 
What has one head, one foot and four legs?	A Bed
Where did the computer go to dance?		To a disc-o 
Why is England the wettest country?		Because the queen has reigned there for years! 
Why did the banana go to the Doctor?	Because it was not peeling well 
Why did the computer go to the doctor?	Because it had a virus! 
Why did Roger go out with a prune?	Because he couldn’t find a date! 
What happened to the dog that swallowed a firefly?	It barked with de-light! 
How do you shoot a killer bee?	With a bee-bee gun 
What did the traffic light say to the car?	Don't look, I'm about to change! 
Who earns a living driving their customers away?	A taxi driver 
What did the little mountain say to the big mountain?	Hi Cliff! 
What did Winnie The Pooh say to his agent?	Show me the honey! 
Why did the girl smear peanut butter on the road?	 To go with the traffic jam!
What goes through towns, up & over hills, but doesn't move?		The road! 
What kind of dogs like car racing?	  Lap dogs
Why was there thunder and lightning in the lab?		The scientists were brainstorming! 
Why couldn't the pirate play cards?		Because he was sitting on the deck! 
What do you call a baby monkey?		A Chimp off the old block 
Where do bees go to the bathroom?	At the BP station! 
Why did the traffic light turn red?		You would too if you had to change in the middle of the street! 
What did one elevator say to the other elevator?	I think I'm coming down with something! 
What do you get when you cross fish and an elephant?	Swimming trunks. 
What do you call the security guards who work at the Samsung store?		Guardians of the Galaxy. 
What do you get when you cross a snowman with a vampire?	Frostbite 
What word is always spelled wrong in the Dictionary?	Wrong. 
Why couldn't the bicycle stand up by itself?	It was two-tired! 
What kind of animal do you not want to play games with?    A cheetah
Why did the chicken get a penalty?	  For fowl play!
What is a cheerleader’s favorite drink?		Rootbeer
When does Friday come before Thursday?	In the dictionary 
What did the blanket say to the bed?	Don't worry, I've got you covered! 
How many tickles does it take to make an Octopus laugh?		Ten-tickles 
What kind of bird sticks to sweaters?	a Vel-Crow 
What washes up on very small beaches?	Microwaves 
What kind of button won’t unbutton?		A bellybutton! 
Why is the sky so unhappy?	It has the blues 
Where do boats go when they get sick?	The dock 
What pet makes the loudest noise?	A trum-pet! 
What do you call a funny mountain?	Hill-arious! 
What's easy to get into but hard to get out of?		Trouble 
What did the triangle say to the circle?	You’re pointless!
What kind of crackers do firemen like in their soup?	Firecrackers! 
What did the digital clock say to the grandfather clock?	Look grandpa, no hands! 
What is an astronaut's favorite place on a computer?	The Space bar! 
Which month do soldiers hate most?	The month of March! 
What did the judge say to the dentist?	Do you swear to pull the tooth, the whole tooth and nothing but the tooth. 
What starts with a P, ends with an E, and has a million letters in it?	Post Office! 
What runs but doesn't get anywhere?		A refrigerator 
Why did the scarecrow win an award?		Because he was out-standing in his field. 
What kind of dog keeps the best time?	A watch dog. 
Which is the longest word in the dictionary?	"Smiles", because there is a mile between each 's' 
Why did the dinosaur cross the road?	Because the chicken joke wasn't invented yet. 
Why couldn't dracula's wife get to sleep?	Because of his coffin. 
What did the worker at the rubber band factory say when he lost his job?	Oh Snap! 
What did one hat say to another?	You stay here, I'll go on a head 
What did the elder chimney say to the younger chimney?	You're too young to smoke! 
Why are pirates called pirates?		Cause they arrrrr. 
What did the lawyer name his daughter?	Sue 
What did the cat say after eating two robins lying in the sun?	I just love baskin' robins. 
How many books can you put in an empty backpack?	One! After that it’s not empty! 
Did you hear they're changing the flooring in daycare centers?	They're calling it infant-tile! 
What three candies can you find in every school?	Nerds, DumDums, and smarties. 
What do you call a man that irons clothes?	  Iron Man 
How do crazy people go through the forest?	They take the psycho path. 
Why does a Moon-rock taste better than an Earth-rock?	Because it's a little meteor 
Why is Peter Pan always flying?		He neverlands! 
Why did the picture go to jail?		Because it was framed! 
What do you call an alligator in a vest?	An Investigator 
What stays in the corner and travels all over the world?	A stamp 
What kind of key opens a banana?	A monkey! 
What do you call a guy who never farts in public?	A private tutor 
What goes up when the rain comes down?	An umbrella 
What did the tree say to the wind?	Leaf me alone! 
Did you hear the joke about the roof?	Never mind, it's over your head! 
Why didn't the skeleton go to the dance?	Because he had no-body to go with. 
What did the horse say when he fell?	Help, I've fallen and I can't giddy up! 
What happens when the smog lifts over Los Angeles?	UCLA 
Which U.S. State has the smallest soft drinks?	Mini-soda 
Why did the stadium get hot after the game?		All of the fans left 
What did the duck say to the bartender?		Put it on my bill 
How does a squid go into battle?	Well Armed 
What kind of tea is hard to swallow?	Reality 
Why was the guy looking for fast food on his friend?	Because his friend said dinner is on me. 
What did the Time Traveler do when he was still hungry after his last bite?		He went back four seconds. 
What do you call an unpredictable, out of control photographer?		A loose Canon. 
Did you hear about the sensitive burglar?	He takes things personally. 
Did the disappointed smoker get everything he wanted for Christmas?		Clothes, but no cigar. 
What do you call the sound a dog makes when it's choking on a piece of its owner's jewelry?		A diamond in the ruff. 
What do you call the heavy breathing someone makes while trying to hold a yoga pose?	Yoga pants. 
How do you impress a baker when you're taking his daughter on a date?	Bring her flours. 
Why did the yogurt go to the art exhibit?	Because it was cultured. 
Where do cows hang their paintings?		In the mooo-seum. 
Why did the tomato turn red?	Because it saw the salad dressing! 
Why did the can crusher quit his job?	Because it was soda pressing. 
What do bees do if they want to use public transport?	Wait at a buzz stop! 
What did the fashion police officer say to his sweater?		"Do you know why I pulled you over?" 
What do you call a group of unorganized cats?	A Cat-astrophe 
Why did the frog take the bus to work?	His car got toad. 
What is the difference between a dressmaker and a farmer?	A dressmaker sews what she gathers, a farmer gathers what he sows. 
What do you give to a sick lemon?	Lemon aid! 
What did the buffalo say to his son when he left for college?	Bison 
Where do Volkswagens go when they get old	The Old Volks home! 
Why did the elephants get kicked out of the public pool?	They kept dropping their trunks. 
What's the most musical part of a chicken?	The drumstick 
What do you call a seagull that flies over the bay?		A Bagel 
What did the fisherman say to the magician?		Pick a cod, any cod! 
What did the red light say to the green light?	Don't look, I'm changing! 
Why couldn't the sesame seed leave the casino?	Because he was on a roll. 
What would Bears be without Bees?	Ears 
Why did the poor man sell yeast?	To raise some dough. 
How do snails fight?	They slug it out. 
Why do bananas wear suntan lotion?	Because they peel. 
What's the difference between ignorance and apathy?		I don't know and I don't care. 
Why are penguins socially awkward?	Because they can't break the ice. 
Where do hamburgers go to dance?	They go to the meat-ball 
What kind of shoes do all spies wear?	Sneakers 
Why did the boy tiptoe past the medicine cabinet?	He didn't want to wake the sleeping pills! 
What do you get when you put your radio in the fridge?	  Cool Music.
Why did the belt go to jail?	Because it held up a pair of pants! 
What do you call a bear with no socks on?	Bare-foot. 
What can you serve but never eat?	A volleyball. 
How do bees get to school?	They take the school buzz, of course! 
What do you call a cow on a trampoline?		A milk shake! 
Why did the boy sprinkle sugar on his pillow before he went to sleep?	So he could have sweet dreams. 
Why did the robber take a bath?		Because he wanted to make a clean getaway. 
What did the penny say to the other penny?	  We make perfect cents. 
How do you find a Princess?		You follow the foot Prince. 
Why did the hipster burn his tongue with his pizza?		He ate it before it was cool! 
What do you call an apology written in dots and dashes?		Remorse code.
Why aren’t koalas actual bears?		The don’t meet the koalafications.
What’s brown and sticky?	A stick.
What’s a foot long and slippery?	A slipper 
What’s red and moves up and down?	A tomato in an elevator
How does NASA organize a party?    They planet
What do Alexander the Great and Winnie the Pooh have in common?    Same middle name. 
Who walks into a restaurant, eats shoots and leaves?	A Panda 
What did one eye say to the other eye?	Don’t look now, but something between us smells.
Why do abcdefghijklmopqrstuvwxy & z hate hanging out with the letter n?		Because n always has to be the center of attention. 
What do you call someone who is afraid of Santa?	A Clausterphobic 
What sound do porcupines make when they kiss?	Ouch! 
Why can't your nose be 12 inches long?	Because then it would be a foot! 
What did the man say to the wall?	One more crack like that and I'll plaster ya! 
Why don't skeletons fight each other?	They don't have the guts. 
What has four wheels and flies?		Garbage truck! 
Why was the student's report card wet?	It was below C level! 
What streets do ghosts haunt?	Dead ends! 
What do you call it when Batman skips church?	Christian Bale 
What did the grape do when it got stepped on?	It let out a little wine! 
What did the time traveler do when he was still hungry after dinner?	He went back four seconds.
On a turkey, which side would you find most feathers?	The outside 
What do you call a chicken that is crossing the road?	Poultry in motion 
What's the difference between a pessimist and a magnet?		A magnet has a positive side. 
Why is it that we don't eat clowns?		They taste funny 
Why is that all cats dislike flying saucers?	Because it is impossible for them to reach the milk. 
If a cat has nine lives, what has more?		A frog – it croaks every day. 
Which ballet do pigs like best?		Swine Lake. 
What would you have if you crossed a pig with a karate expert?	Pork chops 
Why do traffic lights rarely go swimming?	They take much too long to change. 
Why do thieves shower before they commit crime?		Because they like a clean getaway. 
What type of bow can never be tied?		A Rainbow. 
Why did Jack take a prune out for the evening?	He couldn’t get a date. 
Why is it that birds fly southwards for the winter?		Because it is much too far to walk. 
What would you have if you had four peaches and three pears in one hand with four pears and three peaches in the other?		Incredibly large hands. 
How would you lift a giraffe with one hand?		Doesn't matter as you won't find any one handed giraffe? 
If a green stone was thrown into the sea what does it become?"	Wet 
What falls regularly although never gets hurt?	Rain
What would happen if you were to cross two snowmen with three vampires?		You would get severe frostbite 
